gene_name,log2FoldChange,pvalue,log pvalue
SAUSA300_RS11890,-1.131323413,0.002325189,2.633541695
-,-1.130448497,0.003641448,2.438725844
-,-1.130102,4.84E-07,6.315077931
fusA,-1.126076908,3.41E-10,9.467292175
purD,-1.126032464,4.97E-24,23.304032
SAUSA300_RS09965,-1.123974205,2.89E-08,7.539365123
treR,-1.121530397,8.69E-14,13.06079337
SAUSA300_RS09810,-1.116647873,6.30E-11,10.20077708
tuf,-1.113106202,2.39E-11,10.62196649
SAUSA300_RS07145,-1.112975006,1.91E-09,8.718134908
nirB,-1.11159905,6.63E-14,13.178677
lukG,-1.111006844,6.66E-14,13.17674081
SAUSA300_RS13845,-1.110990618,4.96E-06,5.304193708
rpoZ,-1.106784758,9.47E-07,6.023867088
trpD,-1.105004836,0.0459167,1.338029333
SAUSA300_RS13240,-1.103868985,9.71E-12,11.01273495
sdpC,-1.102644735,4.10E-07,6.386790163
SAUSA300_RS01890,-1.092615004,2.48E-16,15.60608253
aroA,-1.092209583,2.09E-18,17.67920202
SAUSA300_RS09920,-1.092090078,0.018130371,1.741593307
argS,-1.091769414,9.71E-15,14.01293977
SAUSA300_RS03110,-1.089865331,3.25E-10,9.487509061
SAUSA300_RS06900,-1.088163008,5.25E-05,4.279470967
ptsG,-1.080937105,2.93E-06,5.532855464
SAUSA300_RS04625,-1.078197333,1.37E-13,12.86207583
SAUSA300_RS02895,-1.073424022,0.00038988,3.409068811
SAUSA300_RS07915,-1.070245871,1.17E-18,17.93306227
SAUSA300_RS08670,-1.068469807,3.13E-05,4.504510533
hisC,-1.067666084,3.93E-06,5.405245733
rplO,-1.066899006,2.95E-13,12.53020831
narH,-1.063039026,3.54E-06,5.450692521
SAUSA300_RS03800,-1.055346971,2.35E-18,17.62841183
SAUSA300_RS04940,-1.053668908,3.24E-10,9.489460786
lepB,-1.053486952,5.95E-07,6.225720873
SAUSA300_RS07215,-1.051594811,0.001393625,2.855854002
SAUSA300_RS11175,-1.051467414,6.69E-06,5.174343489
SAUSA300_RS14530,-1.049489738,7.27E-05,4.138424075
SAUSA300_RS10155,-1.04596867,1.08E-07,6.965172044
SAUSA300_RS05280,-1.042125063,1.03E-14,13.98731754
SAUSA300_RS06245,-1.040436601,2.62E-08,7.581671941
rpsL,-1.039465358,4.84E-10,9.315308151
SAUSA300_RS03635,-1.03666359,0.000893758,3.048780016
thiD,-1.033149584,2.18E-18,17.66138802
opp1C,-1.03227405,0.001919867,2.716728937
recJ,-1.031555599,0.000125798,3.900324885
SAUSA300_RS04800,-1.028400524,4.05E-06,5.392322483
SAUSA300_RS09280,-1.028276964,1.24E-13,12.90629476
rpsG,-1.027744885,7.48E-08,7.12591716
SAUSA300_RS06480,-1.027388161,0.002125034,2.672634095
SAUSA300_RS01150,-1.024115623,1.26E-06,5.899628555
SAUSA300_RS00855,-1.020249242,0.000629774,3.200815578
mnhB1,-1.014963347,3.96E-12,11.40242387
SAUSA300_RS07370,-1.013976257,1.08E-08,7.965244486
SAUSA300_RS12690,-1.008960774,2.36E-08,7.626224523
splB,-1.007353442,4.53E-10,9.344315948
SAUSA300_RS11480,-1.005613436,1.53E-08,7.814009831
SAUSA300_RS14965,-1.005105168,0.00472911,2.325220596
SAUSA300_RS12870,-1.000890671,4.38E-05,4.358208836
rbsU,-1.000316491,1.89E-09,8.723118451
SAUSA300_RS12765,-0.999730075,0.010658659,1.972297436
-,-0.99962684,0.000165307,3.781709898
SAUSA300_RS01455,-0.998852889,2.50E-05,4.602739561
splC,-0.99719539,1.66E-08,7.778715464
SAUSA300_RS11485,-0.996926903,6.77E-12,11.16966255
SAUSA300_RS09915,-0.995595404,0.00095452,3.020215101
SAUSA300_RS03015,-0.995062557,2.53E-06,5.597503118
SAUSA300_RS00520,-0.994012048,0.008162997,2.08815038
SAUSA300_RS03075,-0.992446206,5.68E-06,5.246027413
rpsT,-0.991559133,0.007985147,2.097717081
SAUSA300_RS02975,-0.990775205,7.06E-06,5.151237364
SAUSA300_RS07375,-0.989651108,1.28E-07,6.894418094
SAUSA300_RS03025,-0.989510233,4.23E-08,7.373551443
SAUSA300_RS10395,-0.989483382,7.37E-12,11.13258336
SAUSA300_RS12555,-0.987854871,0.0011225,2.949813671
SAUSA300_RS04450,-0.986976111,3.04E-06,5.51652781
-,-0.9831959,3.53E-05,4.451796373
SAUSA300_RS04405,-0.982649575,1.23E-14,13.90954693
SAUSA300_RS03180,-0.981777229,1.74E-15,14.75943187
crtQ,-0.980935986,7.83E-09,8.106167772
SAUSA300_RS14555,-0.98044383,0.003171345,2.498756527
SAUSA300_RS09575,-0.978045995,0.00051968,3.284264169
SAUSA300_RS04950,-0.978024436,8.52E-13,12.06941016
mgrA,-0.973186954,3.51E-07,6.454477146
brnQ,-0.969209308,5.96E-18,17.22483084
SAUSA300_RS10025,-0.967411842,0.003832812,2.416482489
SAUSA300_RS07865,-0.964129215,0.000250609,3.60100384
SAUSA300_RS12515,-0.963804384,7.83E-16,15.10651175
SAUSA300_RS13005,-0.961989562,0.000286798,3.542423995
SAUSA300_RS09460,-0.961307178,4.82E-06,5.317286837
SAUSA300_RS09870,-0.961235841,1.58E-08,7.80144163
mnhF1,-0.961039087,4.91E-10,9.309261114
SAUSA300_RS08240,-0.959644381,1.27E-18,17.89563527
SAUSA300_RS02830,-0.957507055,4.14E-06,5.382798334
hemA,-0.957256633,4.96E-08,7.304874498
SAUSA300_RS03115,-0.95717256,9.88E-06,5.005090921
SAUSA300_RS03070,-0.953668058,1.79E-05,4.747530395
-,-0.953188493,0.000497387,3.30330521
SAUSA300_RS01080,-0.952588437,4.66E-08,7.331630556
SAUSA300_RS00555,-0.951729721,1.36E-10,9.867756726
sdrE,-0.949375674,5.30E-10,9.275363125
SAUSA300_RS11950,-0.948318092,6.64E-05,4.178106613
qoxC,-0.946073579,2.56E-07,6.592228264
SAUSA300_RS14420,-0.943466054,3.36E-05,4.473168161
SAUSA300_RS02365,-0.932932622,3.73E-07,6.427877989
SAUSA300_RS12225,-0.930974511,9.07E-07,6.042579813
isaA,-0.928072405,1.88E-12,11.72552758
qoxB,-0.92631757,2.45E-06,5.610409487
prfB,-0.92390685,5.45E-11,10.26366994
-,-0.921871298,4.66E-06,5.331148437
pknB,-0.921636885,4.08E-07,6.38973763
SAUSA300_RS11495,-0.921222378,4.88E-10,9.311284926
mtaB,-0.915327881,1.34E-12,11.87251598
-,-0.913423062,0.000319476,3.49556148
mspA,-0.913176541,0.001842575,2.734574764
SAUSA300_RS05830,-0.912295479,1.17E-07,6.930166709
SAUSA300_RS00410,-0.912054119,0.033924944,1.469480857
SAUSA300_RS13425,-0.910370388,3.07E-25,24.51331963
SAUSA300_RS02250,-0.904476331,7.16E-20,19.14530929
mnhA1,-0.904399157,8.65E-11,10.06285827
SAUSA300_RS02655,-0.903501961,0.000580581,3.236137547
SAUSA300_RS12965,-0.902675829,4.14E-07,6.383187975
-,-0.902480505,0.002144814,2.668610291
SAUSA300_RS03240,-0.898423492,3.56E-10,9.448274717
parC,-0.896622467,1.07E-11,10.9721261
SAUSA300_RS00490,-0.896492233,0.017421121,1.758923894
-,-0.89601257,0.004487934,2.347953556
SAUSA300_RS04960,-0.895389802,8.50E-11,10.07050301
SAUSA300_RS00850,-0.894327352,0.000379237,3.421089458
SAUSA300_RS00515,-0.893560889,0.001113134,2.953452674
SAUSA300_RS09315,-0.892134028,6.40E-08,7.194071173
SAUSA300_RS03040,-0.888338034,3.28E-05,4.484516116
SAUSA300_RS00845,-0.887219759,0.007067355,2.150743075
SAUSA300_RS04705,-0.885426093,4.96E-05,4.304524522
SAUSA300_RS09995,-0.882023518,0.040837803,1.388937633
SAUSA300_RS02150,-0.877730661,0.002839503,2.546757611
acpS,-0.877652232,1.01E-07,6.995074752
lepB,-0.876245595,0.001614271,2.79202351
SAUSA300_RS08235,-0.874391762,2.07E-07,6.683238307
tpiA,-0.871833266,1.07E-05,4.96872547
SAUSA300_RS10855,-0.871245287,1.60E-06,5.796134467
SAUSA300_RS01125,-0.870028581,9.71E-09,8.012735577
qoxD,-0.868826085,3.14E-05,4.503559493
SAUSA300_RS01025,-0.865829038,7.58E-06,5.12030913
pnp,-0.865583293,3.12E-09,8.505380542
SAUSA300_RS14660,-0.862434516,0.002468643,2.607541763
SAUSA300_RS01810,-0.861265594,0.002396007,2.620511944
mnhC1,-0.858815455,1.77E-13,12.75088095
SAUSA300_RS04065,-0.856186126,3.90E-07,6.40928791
putP,-0.855492107,3.00E-06,5.523180305
rsmA,-0.85532795,1.35E-08,7.869650497
-,-0.855268145,0.003533655,2.451775876
murA,-0.855205594,2.96E-07,6.528696825
ggt,-0.855059673,1.32E-05,4.879653286
pflA,-0.854366722,2.28E-11,10.64271848
SAUSA300_RS01710,-0.853940644,2.03E-06,5.691721745
argF,-0.853128213,0.009517237,2.021489117
aroB,-0.851982223,4.50E-06,5.346606544
SAUSA300_RS05145,-0.850350468,2.69E-12,11.57044083
kdpB,-0.849872823,0.000514072,3.288976333
mecA,-0.845554313,5.90E-12,11.22886217
tarA,-0.843760038,0.000258577,3.58741076
SAUSA300_RS12450,-0.843689732,2.00E-16,15.69796709
lysA,-0.841440842,1.88E-09,8.7249662
ureC,-0.839376625,0.008041326,2.094672339
lspA,-0.836543129,4.33E-06,5.363248259
SAUSA300_RS13285,-0.834492694,5.10E-06,5.292252959
SAUSA300_RS08820,-0.834042814,1.15E-05,4.940583872
SAUSA300_RS01140,-0.832562212,1.45E-06,5.839876598
SAUSA300_RS13165,-0.832305082,0.011758395,1.929651944
SAUSA300_RS01145,-0.832221473,0.000114152,3.94251648
brnQ,-0.831170221,3.54E-07,6.45066992
SAUSA300_RS01955,-0.829399375,0.019601633,1.707707736
cap8E,-0.828334514,0.005101609,2.292292832
rpsB,-0.826817095,3.05E-10,9.515181329
pflB,-0.824732054,1.20E-10,9.920069136
SAUSA300_RS09320,-0.823499975,1.23E-05,4.910276224
gmk,-0.823309672,9.99E-10,9.000309495
fmtA,-0.823282209,1.21E-05,4.915449458
-,-0.820876647,4.40E-05,4.356835468
SAUSA300_RS02280,-0.819582494,0.020300335,1.69249679
SAUSA300_RS08610,-0.818069923,0.002249809,2.647854415
qoxA,-0.817212724,3.93E-05,4.406067874
SAUSA300_RS12195,-0.813871264,0.000366896,3.435456734
SAUSA300_RS12210,-0.813492761,4.09E-10,9.388468011
lukH,-0.812505586,0.000461803,3.335543657
SAUSA300_RS07910,-0.810669279,7.08E-05,4.150156141
alsS,-0.810530315,0.001235586,2.908126972
SAUSA300_RS10370,-0.810352336,3.40E-06,5.468176317
SAUSA300_RS14405,-0.81034992,0.036760714,1.434616063
SAUSA300_RS12820,-0.808339807,3.70E-06,5.431993506
rseP,-0.807963281,5.81E-11,10.23547588
arlS,-0.8078918,5.55E-11,10.25596669
SAUSA300_RS09815,-0.80679718,0.001819322,2.740090389
cap8F,-0.804695114,0.006767217,2.169589872
SAUSA300_RS03150,-0.803345166,0.033574635,1.4739887
SAUSA300_RS01650,-0.802578369,0.001433697,2.843542485
aroC,-0.800331671,3.13E-06,5.504531708
SAUSA300_RS01130,-0.799170905,0.02903625,1.537059479
SAUSA300_RS01540,-0.798602515,3.71E-06,5.430734279
SAUSA300_RS05115,-0.796910153,0.001060251,2.974591187
-,-0.795695211,0.042743928,1.369125567
SAUSA300_RS15095,-0.794733722,0.003639991,2.438899663
rpoE,-0.794555335,1.85E-11,10.73193829
SAUSA300_RS13330,-0.793671971,0.000575335,3.240079205
SAUSA300_RS05775,-0.793030939,0.000250364,3.601428467
adhE,-0.792843025,5.75E-11,10.24008886
SAUSA300_RS08960,-0.787555702,0.001493732,2.82572737
SAUSA300_RS13440,-0.787548565,0.046360232,1.3338544
SAUSA300_RS13245,-0.786418164,1.78E-09,8.749393283
SAUSA300_RS07140,-0.785812882,4.01E-09,8.396370672
SAUSA300_RS03815,-0.778497434,9.06E-05,4.042736362
SAUSA300_RS03020,-0.776975752,9.81E-05,4.008461989
lmrS,-0.770032832,3.77E-08,7.423232356
SAUSA300_RS10000,-0.767328998,0.00376399,2.424351495
SAUSA300_RS02325,-0.766125107,0.004183601,2.378449726
nirD,-0.765738306,0.010417142,1.982251399
SAUSA300_RS01215,-0.764717411,1.99E-06,5.700236321
SAUSA300_RS01115,-0.764588998,0.000118597,3.925927913
SAUSA300_RS04265,-0.761933269,1.89E-06,5.723621121
SAUSA300_RS13160,-0.759216551,4.70E-05,4.327441679
SAUSA300_RS04135,-0.759096574,0.047962729,1.31909611
SAUSA300_RS03560,-0.758679024,8.83E-05,4.053814893
SAUSA300_RS05580,-0.758098849,9.47E-09,8.023490067
gpmI,-0.75782036,4.78E-05,4.32080998
cap8G,-0.757569669,0.002198286,2.657915725
murD,-0.757381205,5.52E-12,11.25809525
brnQ,-0.756562804,0.000775447,3.110447688
folP,-0.754196507,0.000197282,3.704911676
SAUSA300_RS06020,-0.753962725,8.75E-05,4.05820805
asnS,-0.752493871,8.27E-14,13.08233018
srrA,-0.751910612,2.43E-14,13.61434835
SAUSA300_RS07470,-0.749506046,5.70E-05,4.243793203
SAUSA300_RS08725,-0.748262761,2.79E-08,7.55504683
SAUSA300_RS03200,-0.748057094,0.0027867,2.554909771
SAUSA300_RS03210,-0.743110511,0.004158801,2.381031835
SAUSA300_RS11165,-0.742855349,4.39E-07,6.357789254
SAUSA300_RS09275,-0.740431279,1.40E-11,10.85317365
SAUSA300_RS01020,-0.737091458,0.004614908,2.335836921
SAUSA300_RS03485,-0.73347599,8.54E-08,7.068535213
proC,-0.733103785,2.45E-10,9.611355002
SAUSA300_RS04105,-0.732831032,0.004034745,2.39418392
SAUSA300_RS11330,-0.732727608,1.65E-05,4.783200994
SAUSA300_RS08565,-0.730230423,0.00581763,2.2352539
SAUSA300_RS13325,-0.730185064,5.80E-05,4.236212369
SAUSA300_RS09665,-0.729154448,0.004535356,2.343388653
SAUSA300_RS12485,-0.728357749,5.40E-08,7.267763416
SAUSA300_RS12685,-0.728153925,2.61E-10,9.583198958
SAUSA300_RS15930,-0.722567143,0.02760142,1.55906858
thiI,-0.722550724,0.000902838,3.044390271
SAUSA300_RS09135,-0.716830179,0.02514614,1.599528679
SAUSA300_RS13000,-0.715459471,0.000232549,3.633486149
SAUSA300_RS02255,-0.713733914,2.01E-08,7.697512663
scpA,-0.708666553,0.004908711,2.309032542
SAUSA300_RS13450,-0.70756305,0.000377799,3.42273898
SAUSA300_RS01700,-0.706863653,0.001845286,2.73393628
sak,-0.705950112,4.07E-07,6.390744115
SAUSA300_RS09085,-0.701080012,6.69E-05,4.174567992
fakB2,-0.700887374,2.50E-08,7.601573658
SAUSA300_RS12575,-0.696810199,7.73E-07,6.111604217
SAUSA300_RS07920,-0.694579251,0.018883024,1.723928453
SAUSA300_RS01100,-0.69281159,0.018665138,1.728968803
sdpB,-0.691339151,0.001753353,2.756130731
SAUSA300_RS12770,-0.690060572,0.012859482,1.890776511
yqeK,-0.688995721,6.74E-07,6.171288437
-,-0.68716803,0.003156619,2.500777886
SAUSA300_RS03935,-0.68588077,7.45E-08,7.127903158
SAUSA300_RS09860,-0.682662918,0.046629802,1.33133643
SAUSA300_RS12565,-0.682000428,6.14E-05,4.212022298
SAUSA300_RS08850,-0.681745349,5.28E-07,6.277393329
SAUSA300_RS01665,-0.679304691,0.018020575,1.744231359
rnhC,-0.679044542,0.003813471,2.418679583
ligA,-0.67417188,1.06E-07,6.975014589
SAUSA300_RS13950,-0.674148161,0.00601935,2.220450395
SAUSA300_RS05260,-0.673749675,0.006551805,2.183639035
SAUSA300_RS08665,-0.673610532,5.40E-11,10.26754495
SAUSA300_RS10015,-0.671002373,0.000646384,3.189509547
SAUSA300_RS05185,-0.669539921,1.68E-05,4.773591517
SAUSA300_RS12795,-0.667771222,0.006813335,2.166640277
SAUSA300_RS06225,-0.664849405,0.002206849,2.656227409
SAUSA300_RS08845,-0.663631366,0.036943192,1.432465581
SAUSA300_RS12735,-0.660136564,0.000442634,3.353955098
SAUSA300_RS01240,-0.659115235,7.76E-08,7.109882158
rpmJ,-0.659019744,3.66E-05,4.436338775
SAUSA300_RS13025,-0.657641862,0.000493186,3.306988982
SAUSA300_RS12020,-0.657586982,7.00E-07,6.155092916
rpsM,-0.653272211,1.99E-07,6.70045656
SAUSA300_RS15975,-0.653261777,0.020813697,1.681650781
crtM,-0.651497862,0.00032177,3.492453798
SAUSA300_RS11235,-0.650023673,0.001029592,2.987334775
SAUSA300_RS01870,-0.649644802,1.98E-05,4.703159035
mdeA,-0.648880799,0.003119547,2.505908459
SAUSA300_RS05910,-0.64871905,7.52E-05,4.124048456
SAUSA300_RS13460,-0.648479471,0.012884541,1.889931054
SAUSA300_RS09980,-0.647540711,0.03518517,1.453640352
queG,-0.646690736,0.000141042,3.850651657
cdaA,-0.645701572,0.000952573,3.021101843
infA,-0.645367119,9.37E-07,6.028132664
SAUSA300_RS11350,-0.642607983,2.81E-06,5.551437834
SAUSA300_RS04280,-0.637377269,0.012093584,1.917444981
SAUSA300_RS12325,-0.636463751,0.017840067,1.748603526
SAUSA300_RS00560,-0.634781551,0.000769621,3.113723167
rnz,-0.630625551,0.002499528,2.602141929
rpsK,-0.629318708,1.01E-08,7.995071501
SAUSA300_RS13855,-0.627755071,0.028073781,1.551699094
SAUSA300_RS05495,-0.627389591,0.025908027,1.586565664
rpsO,-0.627036376,0.001214541,2.915587685
SAUSA300_RS11635,-0.626257348,0.004580614,2.339076295
SAUSA300_RS03490,-0.623449693,0.000219554,3.65845793
femX,-0.621413338,2.26E-05,4.645027763
SAUSA300_RS04620,-0.618829672,0.000891468,3.049894252
sfaB,-0.61854543,0.009529942,2.020909725
SAUSA300_RS08485,-0.6175379,8.91E-05,4.050009265
yihA,-0.616864823,0.001558131,2.807395982
SAUSA300_RS13485,-0.61606244,0.040042185,1.39748223
SAUSA300_RS03185,-0.615737142,5.98E-05,4.22364037
trmL,-0.614269648,0.006322493,2.199111649
atpD,-0.612196893,0.000190544,3.720004058
SAUSA300_RS04635,-0.610673942,0.001016581,2.99285789
SAUSA300_RS09150,-0.608501856,0.000470546,3.327397561
mtnN,-0.60638984,0.000104125,3.982444322
SAUSA300_RS14400,-0.606161915,6.80E-05,4.167611489
secY,-0.604965562,9.85E-09,8.006665243
SAUSA300_RS08435,-0.604792601,0.014442713,1.840351224
SAUSA300_RS07150,-0.604642288,3.42E-07,6.465588011
SAUSA300_RS12045,-0.603966539,3.26E-07,6.486752893
SAUSA300_RS10125,-0.602561536,0.00158431,2.800159746
parE,-0.602224277,5.28E-06,5.277171155
SAUSA300_RS01325,-0.601532358,0.000116063,3.93530702
sigS,-0.600561767,0.018412329,1.734891277
SAUSA300_RS13720,-0.599693164,0.000900251,3.045636174
SAUSA300_RS11355,-0.598683167,0.000267457,3.572746126
atpG,-0.597039216,4.12E-05,4.38545052
SAUSA300_RS06260,-0.595811637,9.06E-06,5.042633209
cls,-0.590751838,6.47E-08,7.188995784
SAUSA300_RS14145,-0.589630967,0.01409777,1.850849568
SAUSA300_RS02480,-0.588842579,0.0001316,3.880743733
SAUSA300_RS04795,-0.588670016,0.020751874,1.682942685
splA,-0.587413615,0.002577304,2.588834389
nrdR,-0.583326884,0.004735661,2.324619431
tadA,-0.583085354,0.006972349,2.15662089
-,-0.580937289,0.029325837,1.532749589
rpmG,-0.57953981,0.000103795,3.983825081
SAUSA300_RS05500,-0.578988454,0.037659632,1.424123932
rbsD,-0.578140572,0.000881128,3.054961045
SAUSA300_RS09520,-0.57597699,0.032786341,1.484307044
SAUSA300_RS04145,-0.574986695,0.016212808,1.790141753
SAUSA300_RS01715,-0.574966172,0.025550163,1.592606333
SAUSA300_RS05290,-0.57455354,2.92E-06,5.534063157
hxlA,-0.572702408,0.013325358,1.875321122
murQ,-0.569761111,0.042607638,1.370512539
SAUSA300_RS11740,-0.565758645,0.003082207,2.511138163
SAUSA300_RS03175,-0.564762866,0.016793988,1.774846165
SAUSA300_RS03495,-0.56456461,0.000154516,3.811025746
atpA,-0.559804394,0.000255089,3.593308445
SAUSA300_RS00945,-0.559482224,0.001335403,2.874387771
rpsI,-0.557804965,0.000294426,3.531023766
rplM,-0.556764307,1.62E-05,4.790077548
SAUSA300_RS09210,-0.555567232,2.50E-05,4.602692745
SAUSA300_RS03095,-0.554239802,0.000958278,3.01850835
-,-0.5541204,0.022723608,1.643522721
SAUSA300_RS00580,-0.553291909,1.02E-06,5.991176391
SAUSA300_RS04310,-0.551877085,0.000101025,3.995571364
SAUSA300_RS01655,-0.548574823,8.76E-05,4.057443119
gatB,-0.547714878,2.71E-08,7.566479147
tig,-0.545700792,4.18E-06,5.379291459
gltX,-0.541423369,0.005552703,2.255495534
SAUSA300_RS12235,-0.540627047,0.03657266,1.436843452
SAUSA300_RS07925,-0.540218398,0.026380428,1.578718169
SAUSA300_RS01355,-0.540157509,0.000501349,3.299859858
SAUSA300_RS00245,-0.539707781,6.98E-08,7.155836954
rsmB,-0.539645393,2.60E-07,6.585070743
fmt,-0.538983752,0.000522283,3.282093987
hemC,-0.536323458,0.021567413,1.666201952
modA,-0.535405865,0.000875852,3.05756929
SAUSA300_RS04965,-0.535062492,1.54E-05,4.812183912
SAUSA300_RS13795,-0.533594393,9.88E-05,4.005405047
SAUSA300_RS03215,-0.530973103,0.025342367,1.596152816
arsB,-0.530132929,0.004821416,2.316825376
miaB,-0.529265442,0.000655698,3.183295913
tsaE,-0.529080553,0.007562973,2.121307468
SAUSA300_RS06770,-0.526786742,8.82E-05,4.054305277
SAUSA300_RS03990,-0.52042798,0.007975205,2.098258147
SAUSA300_RS02590,-0.520275299,0.004608564,2.336434376
mupG,-0.518394655,0.025139065,1.599650876
dtd,-0.515610245,3.54E-06,5.450891112
alr,-0.512446,0.000293172,3.532877035
SAUSA300_RS04260,-0.511483484,0.001893681,2.722693207
cls,-0.510068717,1.39E-05,4.858190561
SAUSA300_RS02880,-0.509983157,0.000461501,3.335827456
SAUSA300_RS10445,-0.50766818,0.048700721,1.31246461
SAUSA300_RS08780,-0.507081537,0.015013024,1.823531816
SAUSA300_RS07380,-0.505483091,0.000163078,3.787605207
SAUSA300_RS02455,-0.504746178,0.010299381,1.987188855
SAUSA300_RS02465,-0.503194141,0.001428005,2.845270317
sfaC,-0.501430608,0.010472384,1.979954457
SAUSA300_RS08655,-0.501369692,0.000635323,3.197005763
SAUSA300_RS03255,-0.500707814,0.042863093,1.367916491
yqeH,-0.500535805,0.002727922,2.564167988
SAUSA300_RS05000,-0.500410161,0.040688557,1.390527708
SAUSA300_RS04560,-0.499640155,0.000199593,3.699855428
secE,-0.499362618,0.000281887,3.549924248
SAUSA300_RS02890,-0.497969448,0.020839664,1.681109277
gcvH,-0.496379688,0.027206288,1.565330706
tmk,-0.492912076,0.042751236,1.36905133
SAUSA300_RS10120,-0.492158605,0.000191563,3.717689416
SAUSA300_RS02370,-0.488873306,0.033101563,1.480151501
SAUSA300_RS01120,-0.488326478,0.038251965,1.417346252
cozEa,-0.487535167,0.00416956,2.379909735
SAUSA300_RS02905,-0.485456423,0.00398198,2.399900961
SAUSA300_RS03690,-0.485112104,8.92E-05,4.049679868
SAUSA300_RS09225,-0.484772605,0.001799741,2.74479004
rplQ,-0.484233851,0.000838596,3.076447068
groES,-0.483619599,0.000338433,3.47052707
eno,-0.482318233,0.000322329,3.491700466
atpE,-0.482022218,0.00295507,2.529432269
ndk,-0.479260017,0.004407059,2.355851111
SAUSA300_RS02885,-0.478824949,0.001832468,2.7369635
fakA,-0.477544266,1.02E-05,4.989532939
-,-0.477258807,0.043430203,1.362208141
SAUSA300_RS11900,-0.476008948,0.005416478,2.266283045
SAUSA300_RS07265,-0.474835644,0.000104891,3.979260585
atpB,-0.473453147,4.35E-05,4.361394048
ylqF,-0.472075146,0.007839363,2.105719202
SAUSA300_RS11370,-0.470422678,0.001455172,2.837085628
SAUSA300_RS12305,-0.470124604,0.000869628,3.060666605
SAUSA300_RS05515,-0.468565726,0.006440946,2.191050342
sigB,-0.468452189,0.006083321,2.215859238
SAUSA300_RS07285,-0.467225276,0.007830802,2.106193757
der,-0.466250918,2.04E-07,6.690411146
SAUSA300_RS09715,-0.464550291,0.004680653,2.32969359
dnaB,-0.46443866,0.000373505,3.42770377
SAUSA300_RS05255,-0.464275112,0.047001679,1.327886627
SAUSA300_RS07185,-0.460786355,0.00013142,3.881337593
SAUSA300_RS12570,-0.458396592,0.00197606,2.704199979
SAUSA300_RS03480,-0.45597219,0.023963984,1.620440971
lysS,-0.454076561,8.76E-06,5.057413973
SAUSA300_RS02815,-0.452194278,0.000281556,3.550434543
accB,-0.450178426,0.002813564,2.550743128
truB,-0.45002956,0.01891897,1.723102511
rplK,-0.444159727,0.004593297,2.337875439
SAUSA300_RS09070,-0.443790177,0.049393154,1.306333244
SAUSA300_RS09780,-0.443478885,0.003879327,2.411243564
SAUSA300_RS09175,-0.443415698,0.004918353,2.308180295
dnaX,-0.440101026,0.000591135,3.228313496
SAUSA300_RS02475,-0.438105908,0.002207079,2.656182135
SAUSA300_RS09740,-0.434719368,0.043301034,1.363501731
SAUSA300_RS01615,-0.434244918,0.038419488,1.415448424
SAUSA300_RS11490,-0.43222277,0.024222367,1.615783414
folK,-0.431816646,0.00278543,2.55510781
nagE,-0.424775221,0.004801895,2.318587334
rlmN,-0.41967118,0.000408753,3.388539523
SAUSA300_RS02260,-0.41739924,0.007201194,2.142595481
SAUSA300_RS06000,-0.41103156,0.018255864,1.738597613
SAUSA300_RS13585,-0.407658511,0.011225132,1.949808548
ychF,-0.402057638,0.000813545,3.089618539
SAUSA300_RS01420,-0.400599941,0.025062255,1.600979858
SAUSA300_RS01920,-0.398792199,0.010081359,1.996480937
SAUSA300_RS13180,-0.396157498,0.002766108,2.558130853
SAUSA300_RS13545,-0.394153414,0.013229722,1.878449266
gtxA,-0.393493087,0.035009192,1.455817911
SAUSA300_RS03500,-0.389996746,0.042674164,1.369834978
SAUSA300_RS12165,-0.389311483,0.007568396,2.120996126
hslO,-0.388307525,0.016350982,1.78645617
SAUSA300_RS08225,-0.387940515,0.01196448,1.922106182
sirC,-0.384828496,0.000647527,3.18874204
greA,-0.383787673,0.00059697,3.224047516
SAUSA300_RS12340,-0.383753461,0.016526443,1.781820598
serS,-0.383188613,0.000116449,3.933863548
gatA,-0.380257808,0.000754058,3.122595075
SAUSA300_RS06050,-0.378598939,0.00162105,2.790203567
SAUSA300_RS12580,-0.37727291,0.028816188,1.540363477
mfd,-0.373433754,0.004791792,2.319502015
rbsK,-0.370586046,0.016925264,1.771464556
SAUSA300_RS11390,-0.36924424,0.008557182,2.067669213
rplI,-0.368903397,0.004080654,2.389270214
treP,-0.368529121,0.005064421,2.295470161
prmC,-0.363992432,0.034207266,1.465881633
SAUSA300_RS10375,-0.363059971,0.045218806,1.344680905
SAUSA300_RS03930,-0.359144976,0.001024248,2.989594722
copZ,-0.358542663,0.002770524,2.557438089
SAUSA300_RS04305,-0.358514411,0.036191666,1.441391427
arlR,-0.354776763,0.029511206,1.530013046
prfA,-0.339940279,0.034998768,1.455947244
SAUSA300_RS07260,-0.337628348,0.007633935,2.11725156
SAUSA300_RS13310,-0.336155101,0.032308801,1.490679154
SAUSA300_RS09230,-0.334784499,0.014577978,1.83630271
SAUSA300_RS00070,-0.333117795,0.00084331,3.074012958
SAUSA300_RS11415,-0.332676393,0.049412482,1.306163334
SAUSA300_RS14595,-0.331172467,0.002014604,2.695810285
rpmA,-0.323738539,0.008127743,2.090030043
SAUSA300_RS11250,-0.31095208,0.014854788,1.828133553
rplA,-0.307947284,0.018737735,1.727282917
SAUSA300_RS07435,-0.307133902,0.015664738,1.805076874
SAUSA300_RS05845,-0.290007959,0.023762613,1.624105798
