gene_name,log2FoldChange,pvalue,log pvalue
SAUSA300_RS12190,-2.215539908,0.004758086,2.322567743
-,-2.209731503,7.54E-14,13.12269532
SAUSA300_RS03100,-2.199885849,9.55E-11,10.01989017
SAUSA300_RS13570,-2.192506316,3.01E-72,71.52153241
SAUSA300_RS11910,-2.184150732,0.041699286,1.379871382
tyrS,-2.178391974,1.77E-27,26.75192219
SAUSA300_RS14155,-2.173132035,1.09E-34,33.96286539
cap8C,-2.172400193,3.58E-16,15.44564453
SAUSA300_RS15735,-2.172273843,1.96E-23,22.70832927
ilvB,-2.169261006,7.00E-18,17.15484732
SAUSA300_RS07120,-2.169228771,2.23E-05,4.651643536
SAUSA300_RS12970,-2.167998505,0.012793025,1.893026745
SAUSA300_RS08530,-2.163470125,5.87E-14,13.23116669
-,-2.162838829,1.27E-19,18.89477248
SAUSA300_RS00925,-2.162735058,2.48E-07,6.605314534
esxA,-2.15549019,3.92E-25,24.40641042
SAUSA300_RS06860,-2.145123678,0.01437214,1.842478573
SAUSA300_RS07015,-2.133409277,5.55E-25,24.2554545
ilvD,-2.131914359,2.28E-22,21.64247385
SAUSA300_RS01250,-2.131039194,3.50E-65,64.45639012
cap8B,-2.125539518,2.94E-11,10.53136202
crtO,-2.071925247,1.50E-17,16.82285034
ftnA,-2.070580279,9.09E-98,97.04119915
dapB,-2.069311682,1.26E-21,20.90098289
SAUSA300_RS13045,-2.068647811,1.91E-79,78.71810682
SAUSA300_RS01550,-2.064984856,0.025124972,1.599894413
SAUSA300_RS01070,-2.062541652,4.27E-14,13.36974775
SAUSA300_RS05990,-2.06081595,1.51E-19,18.82194348
SAUSA300_RS13575,-2.039845209,1.22E-53,52.9139897
SAUSA300_RS06625,-2.032697865,1.31E-10,9.881204114
esaA,-2.032290431,4.58E-23,22.33899275
SAUSA300_RS01470,-2.030040677,1.10E-15,14.96005683
rpsD,-2.020536102,5.99E-38,37.22221216
ileS,-2.019084465,5.71E-61,60.24366319
tdcB,-2.015410369,9.72E-28,27.01252132
mvk,-2.011994776,8.60E-47,46.06528643
SAUSA300_RS11320,-2.011701242,1.37E-23,22.86389954
adhP,-2.01066151,3.17E-45,44.49916725
SAUSA300_RS01210,-2.007467477,1.51E-13,12.82193785
rpmI,-2.00118238,1.63E-15,14.787571
SAUSA300_RS13660,-1.99859295,9.98E-70,69.00087414
SAUSA300_RS06525,-1.99349654,0.038311926,1.416666013
SAUSA300_RS06435,-1.984393909,1.13E-29,28.94696046
SAUSA300_RS12875,-1.97790352,4.49E-16,15.34777303
SAUSA300_RS06090,-1.968283033,2.39E-14,13.62108908
SAUSA300_RS08525,-1.963346587,3.10E-21,20.5093154
SAUSA300_RS04155,-1.963324909,1.32E-12,11.87887627
SAUSA300_RS14535,-1.956774838,1.41E-07,6.852223216
hchA,-1.954249079,2.34E-29,28.63010287
dapA,-1.948801235,1.48E-16,15.82961482
nrdE,-1.94620104,3.69E-73,72.43282199
sarR,-1.93913549,0.018339693,1.736607937
SAUSA300_RS00660,-1.933339585,2.42E-12,11.61600644
SAUSA300_RS02180,-1.931047683,5.81E-12,11.23552843
-,-1.92397375,2.42E-07,6.615786578
nikA,-1.918256209,4.25E-30,29.37130733
radC,-1.917302924,5.46E-16,15.26249768
cyoE,-1.902226762,3.29E-20,19.4830126
SAUSA300_RS05795,-1.889090515,2.97E-10,9.52775542
infC,-1.888302076,3.59E-18,17.44496401
nhaC,-1.887941817,3.37E-39,38.47197306
SAUSA300_RS01170,-1.886786823,4.92E-11,10.30761548
SAUSA300_RS05040,-1.879411835,1.75E-06,5.758127453
SAUSA300_RS08880,-1.878897694,1.15E-29,28.93987495
SAUSA300_RS03795,-1.866021511,7.00E-36,35.15513647
SAUSA300_RS05790,-1.861160303,2.20E-12,11.65671883
SAUSA300_RS13185,-1.85058701,1.62E-37,36.79151128
SAUSA300_RS13225,-1.842169338,6.46E-41,40.19002634
pxpB,-1.837258184,8.99E-14,13.04645798
SAUSA300_RS03580,-1.831868498,3.43E-29,28.46440786
SAUSA300_RS05385,-1.831553458,9.36E-15,14.0289045
dapD,-1.830408043,4.09E-34,33.38862218
SAUSA300_RS09200,-1.830015617,0.002573917,2.589405527
SAUSA300_RS06995,-1.82576735,2.81E-27,26.55089545
hisD,-1.823277423,7.93E-05,4.100673199
-,-1.821239397,0.000146101,3.835345787
SAUSA300_RS01065,-1.81783684,6.67E-08,7.175620429
pbp4,-1.8143971,3.35E-27,26.47446564
SAUSA300_RS05390,-1.809092226,1.60E-23,22.79485455
SAUSA300_RS06760,-1.807300048,1.69E-33,32.77185035
SAUSA300_RS10390,-1.805554535,2.82E-31,30.54972342
SAUSA300_RS14550,-1.79899318,9.64E-05,4.015789099
farE,-1.798661134,2.48E-14,13.60549477
SAUSA300_RS14540,-1.791681041,2.48E-14,13.6063019
SAUSA300_RS03435,-1.789242888,8.87E-18,17.05208819
rplW,-1.785194553,2.13E-36,35.67222787
SAUSA300_RS14605,-1.784234593,1.68E-10,9.774545767
SAUSA300_RS14545,-1.782615082,1.29E-17,16.88800932
SAUSA300_RS15925,-1.781256393,3.27E-05,4.484827652
asp2,-1.781007036,3.94E-25,24.40405469
SAUSA300_RS11670,-1.780025439,0.040749755,1.389874993
SAUSA300_RS14340,-1.778371504,5.84E-37,36.23349641
ssb,-1.773720248,1.63E-35,34.78806165
rpsR,-1.771220057,2.01E-25,24.69671875
SAUSA300_RS14415,-1.770873389,5.08E-31,30.29427755
kdpA,-1.767403601,2.06E-07,6.687042765
SAUSA300_RS04770,-1.764073546,7.92E-44,43.10112076
secY2,-1.75568817,1.94E-17,16.7130615
SAUSA300_RS12085,-1.75540418,9.53E-22,21.02073115
SAUSA300_RS04755,-1.75437009,4.84E-07,6.315117407
SAUSA300_RS11130,-1.753818542,4.88E-40,39.3115569
glpT,-1.750897179,4.22E-15,14.37452892
SAUSA300_RS00215,-1.748070915,0.033507105,1.474863089
mscL,-1.747225696,1.92E-09,8.715758898
lnsA,-1.743907581,2.97E-07,6.527413558
SAUSA300_RS13555,-1.739711133,2.05E-13,12.68743952
SAUSA300_RS07020,-1.738700575,3.89E-11,10.40959749
pheT,-1.735481499,7.35E-20,19.1339729
-,-1.735339669,0.014047335,1.852406051
SAUSA300_RS13715,-1.727216532,5.65E-13,12.24816848
SAUSA300_RS05470,-1.725506629,2.64E-12,11.57901933
yidC,-1.722652635,5.29E-22,21.27679581
SAUSA300_RS12185,-1.722433649,2.27E-35,34.64465993
rplE,-1.717340209,1.46E-24,23.83495404
SAUSA300_RS06830,-1.712790431,4.45E-15,14.35157767
gap,-1.709079473,6.76E-60,59.16996753
asp3,-1.709036475,1.94E-19,18.71200282
splE,-1.707448144,7.70E-14,13.11355936
lip1,-1.707032815,5.09E-13,12.2935224
SAUSA300_RS01480,-1.703791123,4.84E-10,9.315394119
SAUSA300_RS10180,-1.703245375,7.70E-21,20.11378091
SAUSA300_RS10170,-1.701102043,5.49E-50,49.2606002
rpsH,-1.700538953,8.78E-18,17.05673283
rplD,-1.698234748,3.52E-19,18.45399357
-,-1.692473063,2.81E-10,9.551984139
SAUSA300_RS14150,-1.691111433,7.03E-19,18.15294855
SAUSA300_RS06800,-1.6903162,2.31E-51,50.63637498
SAUSA300_RS01460,-1.687743893,0.000123455,3.908491742
purN,-1.686904981,1.14E-21,20.9428124
rpsQ,-1.678144973,1.70E-25,24.76842785
SAUSA300_RS11420,-1.666790223,1.87E-11,10.72895244
SAUSA300_RS08620,-1.663695543,1.08E-06,5.968057382
SAUSA300_RS09300,-1.662838231,3.67E-11,10.43492432
SAUSA300_RS00040,-1.661372714,1.24E-19,18.90535322
rplV,-1.660798069,5.85E-30,29.23264256
SAUSA300_RS06590,-1.660665588,0.000710725,3.148298401
SAUSA300_RS00930,-1.660030149,2.41E-09,8.618193179
-,-1.659592256,1.06E-05,4.975223908
SAUSA300_RS12780,-1.659491047,1.23E-24,23.90919877
